mass_kg,grade_deg,steady_force_N,wheel_output_torque_Nm,minimum_uniform_mu,wheel_output_torque_Nm_at_accel_0p1
24.0,29.25,127.32271862380173,4.456295151833061,0.6200269084740768,4.540295151833061
24.0,29.5,128.18740624377617,4.486559218532166,0.6257727781877702,4.570559218532167
24.0,29.75,129.04965336031384,4.516737867610985,0.6315470873652222,4.600737867610985
24.0,30.0,129.90944355747263,4.546830524511543,0.6373502691896258,4.630830524511541
24.0,30.25,130.7667604660865,4.576836616313028,0.6431827633969807,4.660836616313027
24.0,30.5,131.62158776407733,4.606755571742707,0.649045016420551,4.690755571742707
24.0,30.75,132.47390917676557,4.636586821186795,0.6549374815388933,4.720586821186795
24.0,31.0,133.3237084771801,4.666329796701304,0.6608606190275603,4.750329796701305
24.0,31.25,134.17096948636723,4.695983932022854,0.6668148963145961,4.779983932022853
24.0,31.5,135.01567607369861,4.725548662579452,0.672800788139932,4.809548662579452
24.0,31.75,135.8578121571785,4.755023425501248,0.6788187767188065,4.8390234255012485
24.0,32.0,136.6973617037497,4.784407659631239,0.6848693519093274,4.86840765963124
24.0,32.25,137.53430872959905,4.813700805535967,0.6909530113843061,4.897700805535967
24.0,32.5,138.36863730046164,4.842902305516158,0.6970702608074932,4.926902305516158
24.0,32.75,139.20033153192418,4.872011603617347,0.7032216140143517,4.956011603617346
24.0,33.0,140.02937558972724,4.901028145640454,0.7094075931975106,4.985028145640453
24.0,33.25,140.85575369006708,4.929951379152348,0.7156287290970378,5.013951379152348
24.0,33.5,141.6794500998959,4.958780753496357,0.7218855611956916,5.042780753496356
24.0,33.75,142.50044913722127,4.987515719802745,0.7281786379192989,5.071515719802745
24.0,34.0,143.3187351714051,5.016155730999179,0.7345085168424266,5.100155730999179
24.0,34.25,144.13429262346074,5.044700241821126,0.7408757648995099,5.128700241821127
24.0,34.5,144.94710596635,5.07314870882225,0.7472809586016131,5.15714870882225
24.0,34.75,145.7571597252784,5.101500590384744,0.7537246842590017,5.185500590384745
24.0,35.0,146.56443847799,5.129755346729651,0.7602075382097098,5.21375534672965
35.0,0.0,20.593964999999997,0.7207887749999999,0.06,0.843288775
35.0,0.25,22.091399605200078,0.7731989861820028,0.06436335082070156,0.8956989861820027
35.0,0.5,23.58841362199574,0.825594476769851,0.06872686779075879,0.948094476769851
35.0,0.75,25.084978549398006,0.8779742492289303,0.07309071708483508,1.0004742492289302
35.0,1.0,26.581065894967914,0.9303373063238771,0.07745506492821758,1.0528373063238772
35.0,1.25,28.076647175358957,0.9826826511375636,0.08182007762214948,1.1051826511375635
35.0,1.5,29.5716939168594,1.035009287090079,0.08618592156918693,1.157509287090079
35.0,1.75,31.06617765593434,1.087316217957702,0.09055276329858886,1.209816217957702
