turn_radius_m,body_speed_m_s,wheel,steering_deg,rolling_speed_m_s,wheel_rpm
1.6,0.25,RL,-21.80140948635181,0.19100506425305194,13.028314342053553
1.6,0.25,RR,-12.399478718384128,0.33036220209084527,22.5337617743493
1.625,0.25,FL,21.37434688609105,0.19164291251481166,13.071821500825683
1.625,0.25,FR,12.255668320021009,0.3290371824818911,22.443383165581267
1.625,0.25,RL,-21.37434688609105,0.19164291251481166,13.071821500825683
1.625,0.25,RR,-12.255668320021009,0.3290371824818911,22.443383165581267
1.65,0.25,FL,20.96295361750189,0.1922715332961949,13.114699259977439
1.65,0.25,FR,12.11510621649758,0.3277543103768663,22.35587940692295
1.65,0.25,RL,-20.96295361750189,0.1922715332961949,13.114699259977439
1.65,0.25,RR,-12.11510621649758,0.3277543103768663,22.35587940692295
1.6750000000000003,0.25,FL,20.566423009637173,0.19289080127446856,13.15693907133777
1.6750000000000003,0.25,FR,11.977685217435667,0.32651163270384925,22.271117280781265
1.6750000000000003,0.25,RL,-20.566423009637173,0.19289080127446856,13.15693907133777
1.6750000000000003,0.25,RR,-11.977685217435667,0.32651163270384925,22.271117280781265
1.7000000000000002,0.25,FL,20.183999932380164,0.19350063481740956,13.198535366833044
1.7000000000000002,0.25,FR,11.843302725513256,0.32530731411377295,22.18897159935208
1.7000000000000002,0.25,RL,-20.183999932380164,0.19350063481740956,13.198535366833044
1.7000000000000002,0.25,RR,-11.843302725513256,0.32530731411377295,22.18897159935208
1.725,0.25,FL,19.814977005906073,0.19410098991739974,13.23948514473613
1.725,0.25,FR,11.711860496978325,0.3241396283004295,22.10932461256413
1.725,0.25,RL,-19.814977005906073,0.19410098991739974,13.23948514473613
1.725,0.25,RR,-11.711860496978325,0.3241396283004295,22.10932461256413
1.75,0.25,FL,19.458691111293348,0.19469185490756136,13.279787609257916
1.75,0.25,FR,11.583264416737455,0.3230069500737072,22.032065467400376
1.75,0.25,RL,-19.458691111293348,0.19469185490756136,13.279787609257916
1.75,0.25,RR,-11.583264416737455,0.3230069500737072,22.032065467400376
1.775,0.25,FL,19.11452017846412,0.19527324585695402,13.319443856457085
1.775,0.25,FR,11.457424287014065,0.3219077481111464,21.957089713487008
1.775,0.25,RL,-19.11452017846412,0.19527324585695402,13.319443856457085
