speed_m_s,total_latency_s,available_deceleration_m_s2,geometric_margin_m,required_clearance_m
0.76,0.3,0.3,0.15,1.3406666666666665
0.77,0.3,0.3,0.15,1.3691666666666666
0.78,0.3,0.3,0.15,1.3980000000000001
0.79,0.3,0.3,0.15,1.427166666666667
0.8,0.3,0.3,0.15,1.4566666666666668
0.81,0.3,0.3,0.15,1.4865000000000004
0.8200000000000001,0.3,0.3,0.15,1.5166666666666668
0.8300000000000001,0.3,0.3,0.15,1.5471666666666666
0.84,0.3,0.3,0.15,1.5779999999999998
0.85,0.3,0.3,0.15,1.6091666666666664
0.86,0.3,0.3,0.15,1.6406666666666665
0.87,0.3,0.3,0.15,1.6724999999999999
0.88,0.3,0.3,0.15,1.7046666666666666
0.89,0.3,0.3,0.15,1.7371666666666665
0.9,0.3,0.3,0.15,1.77
0.91,0.3,0.3,0.15,1.8031666666666668
0.92,0.3,0.3,0.15,1.8366666666666667
0.93,0.3,0.3,0.15,1.8705000000000003
0.9400000000000001,0.3,0.3,0.15,1.904666666666667
0.9500000000000001,0.3,0.3,0.15,1.939166666666667
0.96,0.3,0.3,0.15,1.974
0.97,0.3,0.3,0.15,2.0091666666666668
0.98,0.3,0.3,0.15,2.0446666666666666
0.99,0.3,0.3,0.15,2.0805
1.0,0.3,0.3,0.15,2.1166666666666667
0.0,0.3,0.5,0.15,0.15
0.01,0.3,0.5,0.15,0.15309999999999999
0.02,0.3,0.5,0.15,0.15639999999999998
0.03,0.3,0.5,0.15,0.1599
0.04,0.3,0.5,0.15,0.1636
0.05,0.3,0.5,0.15,0.16749999999999998
0.06,0.3,0.5,0.15,0.1716
0.07,0.3,0.5,0.15,0.1759
0.08,0.3,0.5,0.15,0.1804
0.09,0.3,0.5,0.15,0.1851
0.1,0.3,0.5,0.15,0.19
0.11,0.3,0.5,0.15,0.1951
0.12,0.3,0.5,0.15,0.2004
0.13,0.3,0.5,0.15,0.2059
0.14,0.3,0.5,0.15,0.2116
0.15,0.3,0.5,0.15,0.2175
0.16,0.3,0.5,0.15,0.2236
0.17,0.3,0.5,0.15,0.2299
0.18,0.3,0.5,0.15,0.2364
0.19,0.3,0.5,0.15,0.24309999999999998
0.2,0.3,0.5,0.15,0.25
0.21,0.3,0.5,0.15,0.2571
0.22,0.3,0.5,0.15,0.26439999999999997
0.23,0.3,0.5,0.15,0.27190000000000003
0.24,0.3,0.5,0.15,0.27959999999999996
0.25,0.3,0.5,0.15,0.2875
0.26,0.3,0.5,0.15,0.2956
0.27,0.3,0.5,0.15,0.3039
0.28,0.3,0.5,0.15,0.3124
0.29,0.3,0.5,0.15,0.32109999999999994
0.3,0.3,0.5,0.15,0.32999999999999996
0.31,0.3,0.5,0.15,0.33909999999999996
0.32,0.3,0.5,0.15,0.34840000000000004
0.33,0.3,0.5,0.15,0.3579
0.34,0.3,0.5,0.15,0.36760000000000004
0.35000000000000003,0.3,0.5,0.15,0.37750000000000006
0.36,0.3,0.5,0.15,0.38759999999999994
