assumed_tau_s,speed_m_s,distance_to_90pct_m,minimum_dwell_90pct_s,minimum_dwell_95pct_s
15.0,0.27999999999999997,9.67085739057499,34.53877639491069,44.93598410330986
15.0,0.285,9.843551272549545,34.53877639491069,44.93598410330986
15.0,0.29,10.016245154524098,34.53877639491069,44.93598410330986
15.0,0.295,10.188939036498653,34.53877639491069,44.93598410330986
15.0,0.3,10.361632918473207,34.53877639491069,44.93598410330986
15.0,0.305,10.53432680044776,34.53877639491069,44.93598410330986
15.0,0.31,10.707020682422314,34.53877639491069,44.93598410330986
15.0,0.315,10.879714564396867,34.53877639491069,44.93598410330986
15.0,0.31999999999999995,11.052408446371418,34.53877639491069,44.93598410330986
15.0,0.32499999999999996,11.225102328345972,34.53877639491069,44.93598410330986
15.0,0.32999999999999996,11.397796210320525,34.53877639491069,44.93598410330986
15.0,0.33499999999999996,11.57049009229508,34.53877639491069,44.93598410330986
15.0,0.33999999999999997,11.743183974269634,34.53877639491069,44.93598410330986
15.0,0.345,11.915877856244187,34.53877639491069,44.93598410330986
15.0,0.35,12.088571738218741,34.53877639491069,44.93598410330986
15.0,0.355,12.261265620193292,34.53877639491069,44.93598410330986
15.0,0.36,12.433959502167847,34.53877639491069,44.93598410330986
15.0,0.365,12.606653384142401,34.53877639491069,44.93598410330986
15.0,0.37,12.779347266116954,34.53877639491069,44.93598410330986
15.0,0.37499999999999994,12.952041148091507,34.53877639491069,44.93598410330986
15.0,0.37999999999999995,13.12473503006606,34.53877639491069,44.93598410330986
15.0,0.38499999999999995,13.297428912040614,34.53877639491069,44.93598410330986
15.0,0.38999999999999996,13.470122794015168,34.53877639491069,44.93598410330986
15.0,0.39499999999999996,13.642816675989721,34.53877639491069,44.93598410330986
15.0,0.39999999999999997,13.815510557964274,34.53877639491069,44.93598410330986
15.0,0.40499999999999997,13.988204439938826,34.53877639491069,44.93598410330986
15.0,0.41,14.16089832191338,34.53877639491069,44.93598410330986
15.0,0.415,14.333592203887935,34.53877639491069,44.93598410330986
15.0,0.42,14.506286085862488,34.53877639491069,44.93598410330986
15.0,0.42499999999999993,14.67897996783704,34.53877639491069,44.93598410330986
15.0,0.42999999999999994,14.851673849811595,34.53877639491069,44.93598410330986
15.0,0.43499999999999994,15.024367731786148,34.53877639491069,44.93598410330986
15.0,0.43999999999999995,15.197061613760702,34.53877639491069,44.93598410330986
15.0,0.44499999999999995,15.369755495735253,34.53877639491069,44.93598410330986
15.0,0.44999999999999996,15.542449377709808,34.53877639491069,44.93598410330986
15.0,0.45499999999999996,15.715143259684362,34.53877639491069,44.93598410330986
15.0,0.45999999999999996,15.887837141658915,34.53877639491069,44.93598410330986
15.0,0.46499999999999997,16.06053102363347,34.53877639491069,44.93598410330986
15.0,0.47,16.233224905608022,34.53877639491069,44.93598410330986
15.0,0.475,16.40591878758258,34.53877639491069,44.93598410330986
15.0,0.4799999999999999,16.578612669557128,34.53877639491069,44.93598410330986
15.0,0.48499999999999993,16.75130655153168,34.53877639491069,44.93598410330986
15.0,0.48999999999999994,16.924000433506233,34.53877639491069,44.93598410330986
15.0,0.49499999999999994,17.09669431548079,34.53877639491069,44.93598410330986
15.0,0.49999999999999994,17.269388197455342,34.53877639491069,44.93598410330986
15.0,0.5049999999999999,17.442082079429895,34.53877639491069,44.93598410330986
15.0,0.5099999999999999,17.614775961404447,34.53877639491069,44.93598410330986
15.0,0.5149999999999999,17.787469843379,34.53877639491069,44.93598410330986
15.0,0.5199999999999999,17.960163725353556,34.53877639491069,44.93598410330986
15.0,0.5249999999999999,18.13285760732811,34.53877639491069,44.93598410330986
15.0,0.5299999999999999,18.305551489302662,34.53877639491069,44.93598410330986
15.0,0.5349999999999999,18.478245371277215,34.53877639491069,44.93598410330986
15.0,0.5399999999999999,18.65093925325177,34.53877639491069,44.93598410330986
15.0,0.5449999999999999,18.823633135226324,34.53877639491069,44.93598410330986
15.0,0.5499999999999999,18.996327017200876,34.53877639491069,44.93598410330986
15.0,0.5549999999999999,19.16902089917543,34.53877639491069,44.93598410330986
15.0,0.5599999999999999,19.34171478114998,34.53877639491069,44.93598410330986
15.0,0.565,19.514408663124538,34.53877639491069,44.93598410330986
15.0,0.57,19.68710254509909,34.53877639491069,44.93598410330986
15.0,0.575,19.859796427073647,34.53877639491069,44.93598410330986
15.0,0.58,20.032490309048196,34.53877639491069,44.93598410330986
15.0,0.585,20.20518419102275,34.53877639491069,44.93598410330986
15.0,0.59,20.377878072997305,34.53877639491069,44.93598410330986
15.0,0.595,20.550571954971858,34.53877639491069,44.93598410330986
15.0,0.6,20.723265836946414,34.53877639491069,44.93598410330986
30.0,0.025,1.7269388197455344,69.07755278982138,89.87196820661973
30.0,0.03,2.072326583694641,69.07755278982138,89.87196820661973
30.0,0.035,2.417714347643748,69.07755278982138,89.87196820661973
30.0,0.04,2.763102111592855,69.07755278982138,89.87196820661973
30.0,0.045,3.1084898755419617,69.07755278982138,89.87196820661973
